"name","link","description","id","lookup"
"Cd27 ; Cd27 ; ANA503","http://www.ncbi.nlm.nih.gov/gene/?term=21940","CD27 molecule","21940","lk_analyte"
"CD3 ; CD3E ; ANA809","","CD3 epsilon","916","lk_analyte"
"CD38 ; CD38 ; ANA808","","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","952","lk_analyte"
"CD4 ; CD4 ; ANA41","http://www.ncbi.nlm.nih.gov/gene/?term=920","CD4 molecule","920","lk_analyte"
"Cd4 ; Cd4 ; ANA504","http://www.ncbi.nlm.nih.gov/gene/?term=12504","CD4 molecule","12504","lk_analyte"
"CD40 ; CD40 ; ANA42","http://www.ncbi.nlm.nih.gov/gene/?term=958","tumor necrosis factor receptor superfamily member 5","958","lk_analyte"
"Cd40 ; Cd40 ; ANA505","http://www.ncbi.nlm.nih.gov/gene/?term=21939","tumor necrosis factor receptor superfamily member 5","21939","lk_analyte"
"CD40LG ; CD40LG ; ANA43","http://www.ncbi.nlm.nih.gov/gene/?term=959","tumor necrosis factor ligand superfamily member 5","959","lk_analyte"
"Cd40lg ; Cd40lg ; ANA506","http://www.ncbi.nlm.nih.gov/gene/?term=21947","tumor necrosis factor ligand superfamily member 5","21947","lk_analyte"
"CD45RA ; PTPRC ; ANA816","","receptor-type tyrosine-protein phosphatase C isoform CD45RA","5788","lk_analyte"
"CD56 ; NCAM1 ; ANA815","","neural cell adhesion molecule 1","4684","lk_analyte"
"CD70 ; CD70 ; ANA44","http://www.ncbi.nlm.nih.gov/gene/?term=970","CD70 molecule","970","lk_analyte"
"Cd70 ; Cd70 ; ANA507","http://www.ncbi.nlm.nih.gov/gene/?term=21948","CD70 molecule","21948","lk_analyte"
"CD8 ; CD8A ; ANA810","","T-cell surface glycoprotein CD8 alpha chain","925","lk_analyte"
"CKLF ; CKLF ; ANA45","http://www.ncbi.nlm.nih.gov/gene/?term=51192","chemokine-like factor","51192","lk_analyte"
"Cklf ; Cklf ; ANA508","http://www.ncbi.nlm.nih.gov/gene/?term=75458","chemokine-like factor","75458","lk_analyte"
"CLCF1 ; CLCF1 ; ANA46","http://www.ncbi.nlm.nih.gov/gene/?term=23529","cardiotrophin-like cytokine factor 1","23529","lk_analyte"
"Clcf1 ; Clcf1 ; ANA509","http://www.ncbi.nlm.nih.gov/gene/?term=56708","cardiotrophin-like cytokine factor 1","56708","lk_analyte"
"CMTM1 ; CMTM1 ; ANA47","http://www.ncbi.nlm.nih.gov/gene/?term=113540","CKLF-like MARVEL transmembrane domain-containing protein 1","113540","lk_analyte"
"Cmtm1 ; Cmtm1 ; ANA510","http://www.ncbi.nlm.nih.gov/gene/?term=100504164","CKLF-like MARVEL transmembrane domain-containing protein 1","100504164","lk_analyte"
"CMTM6 ; CMTM6 ; ANA48","http://www.ncbi.nlm.nih.gov/gene/?term=54918","CKLF-like MARVEL transmembrane domain-containing protein 6","54918","lk_analyte"
"Cmtm6 ; Cmtm6 ; ANA511","http://www.ncbi.nlm.nih.gov/gene/?term=67213","CKLF-like MARVEL transmembrane domain-containing protein 6","67213","lk_analyte"
"CMTM7 ; CMTM7 ; ANA49","http://www.ncbi.nlm.nih.gov/gene/?term=112616","CKLF-like MARVEL transmembrane domain-containing protein 7","112616","lk_analyte"
"Cmtm7 ; Cmtm7 ; ANA512","http://www.ncbi.nlm.nih.gov/gene/?term=102545","CKLF-like MARVEL transmembrane domain-containing protein 7","102545","lk_analyte"
"CNTFR ; CNTFR ; ANA50","http://www.ncbi.nlm.nih.gov/gene/?term=1271","ciliary neurotrophic factor receptor subunit alpha","1271","lk_analyte"
"Cntfr ; Cntfr ; ANA513","http://www.ncbi.nlm.nih.gov/gene/?term=12804","ciliary neurotrophic factor receptor subunit alpha","12804","lk_analyte"
"Csf1 ; Csf1 ; ANA514","http://www.ncbi.nlm.nih.gov/gene/?term=12977","macrophage colony-stimulating factor 1","12977","lk_analyte"
"Csf1r ; Csf1r ; ANA515","http://www.ncbi.nlm.nih.gov/gene/?term=12978","macrophage colony-stimulating factor 1 receptor","12978","lk_analyte"
"CSF1R ; CSF1R ; ANA52","http://www.ncbi.nlm.nih.gov/gene/?term=1436","macrophage colony-stimulating factor 1 receptor","1436","lk_analyte"
"Csf2 ; Csf2 ; ANA516","http://www.ncbi.nlm.nih.gov/gene/?term=12981","granulocyte-macrophage colony-stimulating factor","12981","lk_analyte"
"Csf2ra ; Csf2ra ; ANA517","http://www.ncbi.nlm.nih.gov/gene/?term=12982","granulocyte-macrophage colony-stimulating factor receptor subunit alpha","12982","lk_analyte"
"CSF2RA ; CSF2RA ; ANA54","http://www.ncbi.nlm.nih.gov/gene/?term=1438","granulocyte-macrophage colony-stimulating factor receptor subunit alpha","1438","lk_analyte"
"Csf2rb ; Csf2rb ; ANA518","http://www.ncbi.nlm.nih.gov/gene/?term=12983","cytokine receptor common beta chain","12983","lk_analyte"
"CSF2RB ; CSF2RB ; ANA55","http://www.ncbi.nlm.nih.gov/gene/?term=1439","cytokine receptor common beta chain","1439","lk_analyte"
"Csf3 ; Csf3 ; ANA519","http://www.ncbi.nlm.nih.gov/gene/?term=12985","granulocyte colony-stimulating factor","12985","lk_analyte"
"CSF3 ; CSF3 ; ANA56","http://www.ncbi.nlm.nih.gov/gene/?term=1440","granulocyte colony-stimulating factor","1440","lk_analyte"
"Csf3r ; Csf3r ; ANA520","http://www.ncbi.nlm.nih.gov/gene/?term=12986","granulocyte colony-stimulating factor receptor","12986","lk_analyte"
"CSF3R ; CSF3R ; ANA57","http://www.ncbi.nlm.nih.gov/gene/?term=1441","granulocyte colony-stimulating factor receptor","1441","lk_analyte"
"CTACK ; CCL27 ; ANA19","http://www.ncbi.nlm.nih.gov/gene/?term=10850","C-C motif chemokine 27","10850","lk_analyte"
"Cx3cl1 ; Cx3cl1 ; ANA521","http://www.ncbi.nlm.nih.gov/gene/?term=20312","fractalkine","20312","lk_analyte"
"Cx3cr1 ; Cx3cr1 ; ANA522","http://www.ncbi.nlm.nih.gov/gene/?term=13051","CX3C chemokine receptor 1","13051","lk_analyte"
"CX3CR1 ; CX3CR1 ; ANA59","http://www.ncbi.nlm.nih.gov/gene/?term=1524","CX3C chemokine receptor 1","1524","lk_analyte"
"Cxcl1 ; Cxcl1 ; ANA523","http://www.ncbi.nlm.nih.gov/gene/?term=14825","growth-regulated alpha protein","14825","lk_analyte"
"Cxcl10 ; Cxcl10 ; ANA524","http://www.ncbi.nlm.nih.gov/gene/?term=15945","C-X-C motif chemokine 10","15945","lk_analyte"
"Cxcl11 ; Cxcl11 ; ANA525","http://www.ncbi.nlm.nih.gov/gene/?term=56066","C-X-C motif chemokine 11","56066","lk_analyte"
"CXCL11 ; CXCL11 ; ANA62","http://www.ncbi.nlm.nih.gov/gene/?term=6373","C-X-C motif chemokine 11","6373","lk_analyte"
"Cxcl12 ; Cxcl12 ; ANA526","http://www.ncbi.nlm.nih.gov/gene/?term=20315","stromal cell-derived factor 1","20315","lk_analyte"
"CXCL12 ; CXCL12 ; ANA63","http://www.ncbi.nlm.nih.gov/gene/?term=6387","stromal cell-derived factor 1","6387","lk_analyte"
"Cxcl13 ; Cxcl13 ; ANA527","http://www.ncbi.nlm.nih.gov/gene/?term=55985","C-X-C motif chemokine 13","55985","lk_analyte"
"CXCL13 ; CXCL13 ; ANA64","http://www.ncbi.nlm.nih.gov/gene/?term=10563","C-X-C motif chemokine 13","10563","lk_analyte"
"Cxcl14 ; Cxcl14 ; ANA528","http://www.ncbi.nlm.nih.gov/gene/?term=57266","C-X-C motif chemokine 14","57266","lk_analyte"
"CXCL14 ; CXCL14 ; ANA65","http://www.ncbi.nlm.nih.gov/gene/?term=9547","C-X-C motif chemokine 14","9547","lk_analyte"
"Cxcl16 ; Cxcl16 ; ANA529","http://www.ncbi.nlm.nih.gov/gene/?term=66102","C-X-C motif chemokine 16","66102","lk_analyte"
"CXCL16 ; CXCL16 ; ANA66","http://www.ncbi.nlm.nih.gov/gene/?term=58191","C-X-C motif chemokine 16","58191","lk_analyte"
"Cxcl17 ; Cxcl17 ; ANA530","http://www.ncbi.nlm.nih.gov/gene/?term=232983","VEGF co-regulated chemokine 1","232983","lk_analyte"
"CXCL17 ; CXCL17 ; ANA67","http://www.ncbi.nlm.nih.gov/gene/?term=284340","VEGF co-regulated chemokine 1","284340","lk_analyte"
"Cxcl2 ; Cxcl2 ; ANA531","http://www.ncbi.nlm.nih.gov/gene/?term=20310","C-X-C motif chemokine 2","20310","lk_analyte"
"Cxcl3 ; Cxcl3 ; ANA532","http://www.ncbi.nlm.nih.gov/gene/?term=330122","C-X-C motif chemokine 3","330122","lk_analyte"
"CXCL3 ; CXCL3 ; ANA69","http://www.ncbi.nlm.nih.gov/gene/?term=2921","C-X-C motif chemokine 3","2921","lk_analyte"
"Cxcl5 ; Cxcl5 ; ANA533","http://www.ncbi.nlm.nih.gov/gene/?term=20311","C-X-C motif chemokine 5","20311","lk_analyte"
"CXCL5 ; CXCL5 ; ANA70","http://www.ncbi.nlm.nih.gov/gene/?term=6374","C-X-C motif chemokine 5","6374","lk_analyte"
"CXCL6 ; CXCL6 ; ANA71","http://www.ncbi.nlm.nih.gov/gene/?term=6372","C-X-C motif chemokine 6","6372","lk_analyte"
"Cxcl9 ; Cxcl9 ; ANA534","http://www.ncbi.nlm.nih.gov/gene/?term=17329","C-X-C motif chemokine 9","17329","lk_analyte"
"CXCL9 ; CXCL9 ; ANA73","http://www.ncbi.nlm.nih.gov/gene/?term=4283","C-X-C motif chemokine 9","4283","lk_analyte"
"Cxcr1 ; Cxcr1 ; ANA535","http://www.ncbi.nlm.nih.gov/gene/?term=227288","high affinity interleukin-8 receptor A","227288","lk_analyte"
"CXCR1 ; CXCR1 ; ANA74","http://www.ncbi.nlm.nih.gov/gene/?term=3577","high affinity interleukin-8 receptor A","3577","lk_analyte"
"Cxcr2 ; Cxcr2 ; ANA536","http://www.ncbi.nlm.nih.gov/gene/?term=12765","high affinity interleukin-8 receptor B","12765","lk_analyte"
"CXCR2 ; CXCR2 ; ANA75","http://www.ncbi.nlm.nih.gov/gene/?term=3579","high affinity interleukin-8 receptor B","3579","lk_analyte"
"Cxcr3 ; Cxcr3 ; ANA537","http://www.ncbi.nlm.nih.gov/gene/?term=12766","C-X-C chemokine receptor type 3","12766","lk_analyte"
"CXCR3 ; CXCR3 ; ANA76","http://www.ncbi.nlm.nih.gov/gene/?term=2833","C-X-C chemokine receptor type 3","2833","lk_analyte"
"Cxcr4 ; Cxcr4 ; ANA538","http://www.ncbi.nlm.nih.gov/gene/?term=12767","C-X-C chemokine receptor type 4","12767","lk_analyte"
"CXCR4 ; CXCR4 ; ANA77","http://www.ncbi.nlm.nih.gov/gene/?term=7852","C-X-C chemokine receptor type 4","7852","lk_analyte"
"Cxcr5 ; Cxcr5 ; ANA539","http://www.ncbi.nlm.nih.gov/gene/?term=12145","C-X-C chemokine receptor type 5","12145","lk_analyte"
"CXCR5 ; CXCR5 ; ANA78","http://www.ncbi.nlm.nih.gov/gene/?term=643","C-X-C chemokine receptor type 5","643","lk_analyte"
"Cxcr6 ; Cxcr6 ; ANA540","http://www.ncbi.nlm.nih.gov/gene/?term=80901","C-X-C chemokine receptor type 6","80901","lk_analyte"
