"pvTableName","pv","conditionalRequired","description","conditionalDuplicateRequired","jsonAttribute","jsonDataType","foreignKeyTableName","required","combinedColumn","metaResultDataType","tableName","columnType","cv","cvTableName","comment","tableColumn","templateColumn","foreignKey","pvPreferredTableColumn","templateName"
"lk_preferred_time_unit",TRUE,FALSE,"The time unit for the age of onset value.  This column is optional unless value (Age At Onset Reported) is provided.",FALSE,"ageAtOnsetUnitReported","enum",NA,FALSE,FALSE,"resultData","assessment_component","varchar(25)",FALSE,NA,"Suggested values include Days, Months, Years.","age_at_onset_unit_reported","Age At Onset Unit Reported",FALSE,"time_unit_preferred","assessments"
NA,FALSE,FALSE,"Is the condition reported in the assessment significant for the study analysis?",FALSE,"isClinicallySignificant","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(1)",FALSE,NA,"Please enter a 'Y' or 'N.'","is_clinically_significant","Is Clinically Significant",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Please use SnoMED CT terms if possible.",FALSE,"locationOfFindingReported","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(256)",FALSE,NA,"Where on the subject's body does the condition reported in the assessment occur?","location_of_finding_reported","Location Of Finding Reported",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Please use SnoMED CT terms if possible.",FALSE,"organOrBodySystemReported","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(100)",FALSE,NA,"What is the organ or body system affected by the condition reported in the assessment?","organ_or_body_system_reported","Organ Or Body System Reported",FALSE,NA,"assessments"
NA,FALSE,FALSE,"The assessment component value is often the response to a question in a CRF.",FALSE,"resultValueReported","number",NA,FALSE,FALSE,"resultData","assessment_component","varchar(250)",FALSE,NA,"The assessment component value is often the response to a question in a CRF.","result_value_reported","Result Value Reported",FALSE,NA,"assessments"
"lk_unit_of_measure",TRUE,FALSE,"The unit for the assessment value.",FALSE,"resultUnitReported","enum",NA,FALSE,FALSE,"resultData","assessment_component","varchar(40)",FALSE,NA,"The unit for the assessment value.","result_unit_reported","Result Unit Reported",FALSE,"unit_of_measure_preferred","assessments"
NA,FALSE,FALSE,"Suggested terms include Mild, Moderate, and Severe.",FALSE,"resultValueCategory","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(40)",FALSE,NA,"A categorical representation of the assessment value.","result_value_category","Result Value Category",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Suggested terms include prone, supine, seated, and standing.",FALSE,"subjectPositionReported","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(40)",FALSE,NA,"The position the subject was in when the assessment was completed.","subject_position_reported","Subject Position Reported",FALSE,NA,"assessments"
NA,FALSE,FALSE,"There are no preferrred response values.",FALSE,"timeOfDay","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(40)",FALSE,NA,"When during the day was the assessment completed.","time_of_day","Time Of Day",FALSE,NA,"assessments"
NA,FALSE,FALSE,"What is the wording of the question to elicit the assessment result?",FALSE,"verbatimQuestion","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(250)",FALSE,NA,"What is the actual question in the CRF?","verbatim_question","Verbatim Question",FALSE,NA,"assessments"
NA,FALSE,FALSE,"Assessments can include study subject medical history and/or family history.",FALSE,"whoIsAssessed","string",NA,FALSE,FALSE,"resultData","assessment_component","varchar(40)",FALSE,NA,"Is the study subject assessed or a member of the study subject's family?","who_is_assessed","Who Is Assessed",FALSE,NA,"assessments"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"basic_study_design"
NA,FALSE,FALSE,"The biological sample user defined ID is an identifier chosen by the data provider to refer to a sample. This ID may be referenced by other data records (e.g. experiment sample). The user defined ID is not shared.",FALSE,"userDefinedId","string",NA,TRUE,FALSE,NA,"biosample","varchar(100)",FALSE,NA,"The identifier should be unique to the ImmPort workspace to which the data will be uploaded.","user_defined_id","User Defined ID",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"The sample types are adopted from Uberon, Cell and CHEBI ontologies.",FALSE,"type","enum",NA,TRUE,FALSE,NA,"biosample","varchar(50)",TRUE,"lk_sample_type","Please choose from the drop down list.","type","Type",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"Enter a sample type that is of finer resolution than the standard sample types provided. If the 'Biological Sample Type' is 'Other', then the sample subtype must be entered.",FALSE,"subtype","string",NA,FALSE,FALSE,NA,"biosample","varchar(50)",FALSE,NA,"Enter a sample type that is of finer resolution than the standard sample types provided. If the 'Biological Sample Type' is 'Other', then the sample subtype must be entered.","subtype","Subtype",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"The biological sample name is not referenced by other data records.",FALSE,"name","string",NA,FALSE,FALSE,NA,"biosample","varchar(200)",FALSE,NA,"The biological sample name is an alternate identifier that is visible when the sample is shared.","name","Name",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"The biological sample description is used to describe details of the sample not captured in other columns.",FALSE,"description","string",NA,FALSE,FALSE,NA,"biosample","varchar(4000)",FALSE,NA,"The biological sample description is used to describe details of the sample not captured in other columns.","description","Description",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"Please enter either a subject user defined ID or ImmPort accession for the subject from which the sample was derived. A single subject record is permitted.",FALSE,"subjectId","string","subject",TRUE,FALSE,NA,"biosample","varchar(15)",FALSE,NA,"Please enter either a subject user defined ID or ImmPort accession for the subject from which the sample was derived.","subject_accession","Subject ID",TRUE,NA,"bioSamples"
NA,FALSE,FALSE,"A biological sample may be linked to a single study.",FALSE,"studyId","string","study",TRUE,FALSE,NA,"biosample","varchar(15)",FALSE,NA,"Please enter either a study user defined ID or ImmPort accession.","study_accession","Study ID",TRUE,NA,"bioSamples"
NA,FALSE,FALSE,"The link to a study's planned visit provides temporal context for a sample's derivation from a subject.",FALSE,"plannedVisitId","string","planned_visit",TRUE,FALSE,NA,"biosample","varchar(15)",FALSE,NA,"Please enter either a study's planned visit user defined ID or ImmPort accession.","planned_visit_accession","Planned Visit ID",TRUE,NA,"bioSamples"
NA,FALSE,FALSE,"Please enter either a treatment user defined ID or ImmPort accession if the sample was manipulated in a manner significant to the assay prior to the assay being conducted. One or more identifiers can be entered per sample. Separate identifiers by semicolon (;).",FALSE,"treatmentIds","array","treatment",FALSE,FALSE,NA,"biosample_2_treatment","varchar(15)",FALSE,NA,"Please enter either a treatment user defined ID or ImmPort accession.","treatment_accession","Treatment ID(s)",TRUE,NA,"bioSamples"
NA,FALSE,FALSE,"Study time collected describes the time value for when a sample was derived from a subject.",FALSE,"studyTimeCollected","number",NA,TRUE,FALSE,NA,"biosample","float",FALSE,NA,"Please enter a number.","study_time_collected","Study Time Collected",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"The time units are standard terms recommended by the HIPC Standards group.",FALSE,"studyTimeCollectedUnit","enum",NA,TRUE,FALSE,NA,"biosample","varchar(25)",TRUE,"lk_time_unit","Please choose from the drop down list.","study_time_collected_unit","Study Time Collected Unit",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"The time zero event refers to the study milestone upon which time is based.",FALSE,"studyTimeT0Event","enum",NA,TRUE,FALSE,NA,"biosample","varchar(50)",TRUE,"lk_t0_event","Please choose from the drop down list.","study_time_t0_event","Study Time T0 Event",FALSE,NA,"bioSamples"
NA,FALSE,FALSE,"Enter a time zero event if 'Other' is selected in column 'Study Time T0 Event'.",FALSE,"studyTimeT0EventSpecify","string",NA,FALSE,FALSE,NA,"biosample","varchar(50)",FALSE,NA,"Enter a time zero event if 'Other' is selected in column 'Study Time T0 Event'.","study_time_t0_event_specify","Study Time T0 Event Specify",FALSE,NA,"bioSamples"
NA,FALSE,TRUE,"The control sample user defined ID is an identifier chosen by the data provider. This ID may be referenced by other data records (e.g. MBAA results). The user defined ID is not shared.",FALSE,"controlSampleId","string",NA,TRUE,TRUE,NA,"control_sample","varchar(100)",FALSE,NA,"The identifier should be unique to the ImmPort workspace to which the data will be uploaded.","user_defined_id","Control Sample ID",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The manufacturer or lab where the control sample was obtained.",FALSE,"source","string",NA,FALSE,FALSE,NA,"control_sample","varchar(100)",FALSE,NA,"The manufacturer or lab where the control sample was obtained.","source","Source",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The manufacturer or source lab's identifier.",FALSE,"catalogId","string",NA,FALSE,FALSE,NA,"control_sample","varchar(100)",FALSE,NA,"The manufacturer or source lab's identifier.","catalog_id","Catalog ID",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The dilution factor indicates how much a sample was diluted before it was assayed.",FALSE,"dilutionFactor","string",NA,FALSE,FALSE,NA,"control_sample","varchar(100)",FALSE,NA,"Please enter a number.","dilution_factor","Dilution Factor",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The assay ID represents the plate or array ID where standard curves, control samples, and experiment samples were collected and assayed. This ID will be used to link standard curves, control samples, and experiment samples results.",FALSE,"assayId","string",NA,FALSE,FALSE,NA,"control_sample","varchar(100)",FALSE,NA,"The assay ID represents the plate or array ID where standard curves, control samples, and experiment samples were collected and assayed. This ID will be used to link standard curves, control samples, and experiment samples results.","assay_id","Assay ID",FALSE,NA,"controlSamples"
NA,FALSE,FALSE,"The assay group ID represents a collection of plates or arrays. This ID may be used to link collections of standard curves, control samples, and experiment samples results.",FALSE,"assayGroupId","string",NA,FALSE,FALSE,NA,"control_sample","varchar(100)",FALSE,NA,"The assay group ID represents a collection of plates or arrays. This ID may be used to link collections of standard curves, control samples, and experiment samples results.","assay_group_id","Assay Group ID",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The format of the result file depends on the assay type. ImmPort supports results templates (MBAA_Results.txt) for some of the commonly used immunological assay methods. These template facilitate the sharing and re-use of results data in a standard format. If the result file is the ImmPort results template (strongly recommended by NIAID DAIT), choose 'Yes' from the drop down list and do not include a file name in the ""Result File Name"" column. If the result file is not an ImmPort results template, choose 'No' from the drop down list and include a file name in the ""Result File Name"" column.",FALSE,"immportTemplate","enum",NA,FALSE,FALSE,NA,NA,NA,TRUE,"lk_yes_no","The format of the result file depends on the assay type. ImmPort supports results templates (MBAA_Results.txt) for some of the commonly used immunological assay methods. These templates facilitate the sharing and re-use of results data in a standard format. If the result file is the ImmPort results template (strongly recommended by NIAID DAIT), choose 'Yes' from the drop down list and do not include a file name in the ""Result File Name"" column. If the result file is not an ImmPort results template, choose 'No' from the drop down list and include a file name in the ""Result File Name"" column.",NA,"ImmPort Template?",FALSE,NA,"controlSamples"
NA,FALSE,FALSE,"This is expected to be the MBAA_Results.txt ImmPort template. The file size name limit is 240 characters.",FALSE,"resultFileName","string",NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,"Enter the file name (including file extension) that contains assay results for the control sample. The file size name limit is 240 characters.",NA,"Result File Name",FALSE,NA,"controlSamples"
NA,FALSE,FALSE,"The lot number is helpful to understand possible batch specific differences in assay results.",FALSE,"lotNumber","string",NA,FALSE,FALSE,NA,"control_sample","varchar(100)",FALSE,NA,"The lot number is often provided by a reagent source when the reagent is replenished over time.","lot_number","Lot Number",FALSE,NA,"controlSamples"
NA,FALSE,FALSE,"HIPC recommends including bead level result files if they are available. Separate file names by a semi-colon (;). The file size name limit is 240 characters.",FALSE,"additionalResultFileNames","array",NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,"HIPC recommends including bead level result files if they are available. The file size name limit is 240 characters.",NA,"Additional Result File Names",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The experiment identifier must be stored in ImmPort or in the experiments.txt template.",FALSE,"experimentId","string",NA,TRUE,TRUE,NA,"experiment","varchar(100)",FALSE,NA,"Please enter either an experiment user defined ID or ImmPort accession.","user_defined_id","Experiment ID",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"An experiment may be linked to a single study.",FALSE,"studyId","string","study",FALSE,FALSE,NA,"experiment","varchar(15)",FALSE,NA,"Please enter either a study user defined ID or ImmPort accession.","study_accession","Study ID",TRUE,NA,"controlSamples"
NA,FALSE,TRUE,"Please enter either a protocol user defined ID or ImmPort accession for a protocol that describes how the sample was derived and prepared. One or more identifiers can be entered per sample. Separate identifiers by semicolon (;).",FALSE,"protocolIds","array","protocol",FALSE,FALSE,NA,"experiment_2_protocol","varchar(15)",FALSE,NA,"Please enter either a protocol user defined ID or ImmPort accession.","protocol_accession","Protocol ID(s)",TRUE,NA,"controlSamples"
NA,FALSE,TRUE,"The experiment name is not referenced by other data records.",FALSE,"name","string",NA,FALSE,FALSE,NA,"experiment","varchar(500)",FALSE,NA,"The experiment name is an alternate identifier that is visible when the sample is shared.","name","Name",FALSE,NA,"controlSamples"
NA,FALSE,FALSE,"The experiment description is used to describe details of the experiment not captured in other columns.",FALSE,"description","string",NA,FALSE,FALSE,NA,"experiment","varchar(4000)",FALSE,NA,"The experiment description is used to describe details of the experiment not captured in other columns.","description","Description",FALSE,NA,"controlSamples"
NA,FALSE,TRUE,"The measurement technique describes the assay method.",FALSE,"measurementTechnique","enum",NA,FALSE,FALSE,NA,"experiment","varchar(50)",TRUE,"lk_exp_measurement_tech","Choose from a drop down list.","measurement_technique","Measurement Technique",FALSE,NA,"controlSamples"
NA,FALSE,FALSE,"The experiment sample identifier must be stored in ImmPort or in the experimentsamples.txt template.",FALSE,"expsampleId","string","expsample",TRUE,FALSE,NA,"fcs_analyzed_result And expsample_2_file_info","varchar(15)",FALSE,NA,"Please enter either an experiment sample user defined ID or ImmPort accession.","expsample_accession","Expsample ID",TRUE,NA,"CyTOF_Derived_data"
"lk_cell_population",TRUE,FALSE,"The drop down list provides a list of cell population names. Please select a name if it matches your cell population name or enter a population name if there is not an appropriate one provided. The population name has a limit of 150 characters.",FALSE,"populationNameReported","enum",NA,TRUE,FALSE,NA,"fcs_analyzed_result","varchar(150)",FALSE,NA,"The population name is the type of cells whose count is reported. Please select a population name from the drop down list if it matches your cell population name or enter a name if there is not an appropriate one provided.","population_name_reported","Population Name Reported",FALSE,"population_name_preferred","CyTOF_Derived_data"
"lk_cell_population_definition",TRUE,FALSE,"he gating definition is the set of markers and their expression profile that describes a cell population name. Please select a gating definition from the drop down list if it matches your gating definition or enter a gating definition if there is not an appropriate one provided. The marker names should conform to standard names as described in the LK_ANALYTE table. Note that a comma, forward slash or pipe may be used as marker delimiter. The expression values are '-', '+', '+-', '+~', '++', or ''. The gating definition has a limit of 150 characters.",FALSE,"gatingDefinitionReported","enum",NA,TRUE,FALSE,NA,"fcs_analyzed_result","varchar(150)",FALSE,NA,"The gating definition is the set of markers and their expression profile. Please select a gating definition from the drop down list or enter a gating definition. Please see the ImmPort Upload Templates for details on representing marker names, delimiters and expression values. ","population_defnition_reported","Gating Definition Reported",FALSE,"population_defnition_preferred","CyTOF_Derived_data"
"lk_cell_population",TRUE,FALSE,"The drop down provides the base parent population. Please select a name if it matches your base parent population name or enter a name if there is not an appropriate one provided.",FALSE,"parentPopulationReported","enum",NA,FALSE,FALSE,NA,"fcs_analyzed_result","varchar(150)",FALSE,NA,"The base parent population name. Please select a population name from the drop down list if it matches your base parent population name or enter a name if there is not an appropriate one provided.","parent_population_reported","Parent Population Reported",FALSE,"population_name_preferred","CyTOF_Derived_data"
NA,FALSE,FALSE,"The count of the cell type defined by the marker gating definition.",FALSE,"populationStatisticCountPercentileEtc","number",NA,TRUE,FALSE,NA,"fcs_analyzed_result","varchar(50)",FALSE,NA,"A number is expected.","population_statistic_reported","Population Statistic (count, percentile, etc)",FALSE,NA,"CyTOF_Derived_data"
"lk_cell_pop_statistic_unit",TRUE,FALSE,"The unit used to describe the cell count. Please select a unit from the drop down list if the definition matches your unit name or enter a unit if there is not an appropriate one provided.",FALSE,"populationStatUnitReported","enum",NA,TRUE,FALSE,NA,"fcs_analyzed_result","varchar(100)",FALSE,NA,"The unit used to describe the cell count. Please select a unit from the list provided if the definition matches your unit name or enter a unit if there is not an appropriate one provided.","population_stat_unit_reported","Population Stat Unit Reported",FALSE,"statistic_unit_preferred","CyTOF_Derived_data"
NA,FALSE,FALSE,"An XML formatted export of the analysis program is expected (e.g. an xml format of a FlowJo .jo or .wsp file). The file size name limit is 240 characters.",FALSE,"workspaceFile","string",NA,TRUE,FALSE,NA,NA,NA,FALSE,NA,"The name of the file that stores the interpreted CyTOF results from the analysis program. The file size name limit is 240 characters.",NA,"Workspace File",FALSE,NA,"CyTOF_Derived_data"
NA,FALSE,FALSE,"Comments captures additional descriptive information.",FALSE,"comments","string",NA,FALSE,FALSE,NA,"fcs_analyzed_result","varchar(500)",FALSE,NA,"Comments captures additional descriptive information.","comments","Comments",FALSE,NA,"CyTOF_Derived_data"
NA,FALSE,FALSE,"The experiment sample identifier must be stored in ImmPort or in the experimentsamples.txt template.",FALSE,"expsampleId","string","expsample",TRUE,FALSE,NA,"elisa_result And expsample_2_file_info","varchar(15)",FALSE,NA,"Please enter either an experiment sample user defined ID or ImmPort accession.","expsample_accession","Expsample ID",TRUE,NA,"ELISA_Results"
"lk_analyte",TRUE,FALSE,"The analyte describes what is being measured in an assay. The list of values displays common immunology terms on the left and their preferred term on the right, separated by a semi-colon. Please select a name from the list provided if the name matches your name or enter a name if there is not an appropriate one provided. This name is visible when the result is shared.",FALSE,"analyteReported","enum",NA,TRUE,FALSE,NA,"elisa_result","varchar(100)",FALSE,NA,"The analyte is the target (e.g protein, DNA, RNA) that is being assayed by the reagent. The list of values displays common immunology terms on the left and their preferred term on the right, separated by a semi-colon. Please select a name from the list provided if the name matches your name or enter a name if there is not an appropriate one provided. This name is visible when the result is shared.","analyte_reported","Analyte Reported",FALSE,"immunology_symbol and short_label and analyte_preferred","ELISA_Results"
NA,FALSE,FALSE,"The analyte's concentration value.",FALSE,"valueReported","number",NA,TRUE,FALSE,NA,"elisa_result","varchar(50)",FALSE,NA,"The analyte's concentration value.","value_reported","Value Reported",FALSE,NA,"ELISA_Results"
